image,P,R,F1,ms
157036,0.328598,0.928424,0.485399,3.11242
187029,0.402096,0.822041,0.540037,0.847958
71046,0.595582,0.982687,0.741662,1.03337
299091,0.396366,0.396702,0.396534,0.496833
242078,0.832057,0.869996,0.850604,0.8315
232038,0.560776,0.941736,0.70296,0.751125
173036,0.292186,0.816953,0.430428,0.815541
198054,0.306734,0.994359,0.468843,1.11921
388016,0.829998,0.898986,0.863115,1.01292
292066,0.29151,0.882114,0.438207,1.05721
189011,0.650966,0.515216,0.57519,0.614666
59078,0.438031,0.960853,0.601741,1.14225
108041,0.297052,0.847779,0.43995,1.10229
66075,0.46034,0.839633,0.594653,0.653542
20008,0.424356,0.792054,0.552631,1.029
370036,0.769406,0.932837,0.843276,0.971584
41025,0.278095,0.956539,0.430912,1.11875
207056,0.202228,0.997263,0.336267,1.22896
314016,0.385994,0.988177,0.555143,0.860833
188091,0.670791,0.980612,0.796639,0.671083
56028,0.636097,0.979069,0.771169,1.12496
134008,0.220462,0.976083,0.359684,1.14587
153093,0.663887,0.920771,0.771507,0.88625
54005,0.359582,0.973793,0.525222,1.20058
65019,0.568474,0.948439,0.710868,0.786833
176039,0.189342,0.973124,0.317004,0.748875
187003,0.402387,0.942808,0.564043,1.07679
61086,0.394567,0.961808,0.559576,0.981416
147021,0.269625,0.91983,0.417013,0.7045
353013,0.312395,0.994103,0.475397,1.09692
317080,0.466258,0.998904,0.635761,1.22517
28096,0.319048,0.854035,0.464551,0.961917
35010,0.695452,0.967494,0.809221,1.01825
151087,0.349221,0.889765,0.501579,1.00867
254033,0.231632,0.964789,0.373574,1.01808
189003,0.524009,0.958056,0.677473,0.961416
144067,0.30465,0.887112,0.453544,1.10354
33066,0.686451,0.812795,0.744299,0.797834
138032,0.296401,0.975064,0.454609,1.27171
15088,0.183448,0.867421,0.302847,0.775958
249061,0.513989,0.792311,0.6235,0.646792
68077,0.524566,0.940619,0.673522,1.07129
368078,0.579364,0.98087,0.728456,1.06508
187039,0.204008,0.991794,0.338407,1.25208
87065,0.376301,0.997966,0.546525,1.41288
216066,0.366669,0.982185,0.533989,1.20833
43083,0.503433,0.982005,0.665627,1.23567
372047,0.694688,0.980038,0.813053,0.831791
227046,0.452739,0.950352,0.613305,0.993917
