image,P,R,F1,ms
157036,0.325283,0.927168,0.481602,1.26729
187029,0.402977,0.82236,0.5409,0.838208
71046,0.590086,0.965942,0.73262,0.959458
299091,0.383131,0.402574,0.392612,0.56
242078,0.847706,0.862011,0.854799,0.891708
232038,0.563338,0.940785,0.704703,0.762542
173036,0.293246,0.814721,0.431265,0.897208
198054,0.305348,0.995621,0.467361,1.17279
388016,0.814701,0.893544,0.852303,1.04554
292066,0.284356,0.875364,0.429267,1.07346
189011,0.640094,0.459145,0.534726,0.645125
59078,0.435338,0.955779,0.598206,1.19246
108041,0.29367,0.83273,0.434211,1.0945
66075,0.452092,0.840608,0.587967,0.736958
20008,0.424104,0.786696,0.551108,0.99525
370036,0.771394,0.927327,0.842204,1.32238
41025,0.268301,0.948678,0.4183,1.23421
207056,0.197143,0.997638,0.329227,1.37262
314016,0.397229,0.984069,0.565991,0.892667
188091,0.672515,0.978374,0.797111,0.59775
56028,0.620124,0.978829,0.759241,1.08421
134008,0.224082,0.972991,0.364271,1.25442
153093,0.655565,0.903242,0.759727,0.951875
54005,0.360105,0.975429,0.526017,1.33283
65019,0.566742,0.935816,0.705951,0.747583
176039,0.192515,0.981996,0.321919,0.937042
187003,0.400361,0.943538,0.562179,1.15279
61086,0.399087,0.957063,0.563288,0.885916
147021,0.27069,0.90115,0.416324,0.694542
353013,0.313873,0.994434,0.477145,1.11842
317080,0.469735,0.999537,0.639116,1.09925
28096,0.30841,0.82728,0.449315,1.05692
35010,0.698118,0.958718,0.807923,1.11833
151087,0.344479,0.885854,0.496058,1.22054
254033,0.229393,0.956957,0.370075,0.882459
189003,0.520481,0.932367,0.668039,0.990541
144067,0.303387,0.883185,0.451632,0.876625
33066,0.670477,0.762069,0.713345,0.813584
138032,0.301926,0.97639,0.461228,1.05121
15088,0.201896,0.866104,0.327459,0.803208
249061,0.527822,0.814253,0.640472,0.717708
68077,0.528003,0.953109,0.679549,1.13908
368078,0.580398,0.97743,0.72832,1.02604
187039,0.201188,0.991704,0.334513,1.38187
87065,0.375944,0.996239,0.545889,1.47867
216066,0.364127,0.994163,0.533025,1.23292
43083,0.505187,0.982022,0.667162,1.22812
372047,0.699274,0.978613,0.815691,1.00342
227046,0.4523,0.952187,0.613283,1.12708
15004,0.553135,0.946052,0.698104,1.13154
236017,0.382783,0.964762,0.5481,1.44133
310007,0.383303,0.936209,0.543916,0.775792
198023,0.2097,0.87181,0.33808,1.035
22093,0.520602,0.960895,0.675322,0.927292
106025,0.38801,0.411489,0.399405,0.803459
202012,0.366164,0.996951,0.535608,1.5015
159045,0.503374,0.986513,0.666608,1.32267
376020,0.364501,0.890514,0.517274,1.318
124084,0.748038,0.96831,0.844039,1.09196
254054,0.273572,0.981392,0.427871,1.32796
25098,0.68056,0.935642,0.787971,1.02175
8049,0.692549,0.883512,0.776461,0.963833
104022,0.505052,0.879486,0.641638,1.09575
238011,0.98106,0.996827,0.98888,0.649125
285036,0.596546,0.854282,0.702521,0.82275
65132,0.344526,0.86501,0.492782,1.07204
326038,0.187443,0.987558,0.315082,1.2035
22090,0.777847,0.74322,0.760139,0.776875
159091,0.344393,0.92138,0.50138,1.20167
76002,0.48495,0.961553,0.644734,1.13767
227040,0.621465,0.859458,0.721338,0.98425
145053,0.531451,0.954879,0.682852,0.978917
374020,0.613744,0.851573,0.713358,0.937417
46076,0.6,0.808874,0.688953,0.731708
100080,0.638794,0.27673,0.386169,1.10813
113016,0.404276,0.974582,0.571487,1.35604
134052,0.210454,0.663726,0.319577,1.23138
311068,0.217289,0.932446,0.352447,1.41875
239096,0.506875,0.716171,0.593615,0.976542
187071,0.532372,0.968711,0.687123,0.776125
16052,0.384021,0.937119,0.544792,1.167
94079,0.177542,0.953792,0.29936,1.30617
311081,0.220089,0.979411,0.359412,1.62321
118035,0.938619,0.835927,0.884302,0.668125
130034,0.177579,0.995184,0.30138,1.38133
138078,0.750298,0.929307,0.830263,0.923833
35070,0.79433,0.962211,0.870248,0.847958
35058,0.416084,0.644268,0.505623,0.956834
260081,0.362566,0.899348,0.516791,1.18846
246053,0.606535,0.878341,0.717561,0.864333
26031,0.132516,0.938068,0.232227,1.21817
67079,0.678698,0.928686,0.784253,0.821417
164074,0.213642,0.880375,0.343843,1.10158
95006,0.276091,0.945469,0.427381,1.25892
27059,0.628089,0.956288,0.758196,1.17208
66039,0.306508,0.901939,0.457532,1.30108
112082,0.226752,0.887831,0.361243,1.323
140075,0.515485,0.929643,0.663218,1.00792
106020,0.253549,0.95751,0.400932,1.10987
97017,0.672065,0.745509,0.706884,0.952334
302003,0.829518,0.883862,0.855828,1.07617
118020,0.596941,0.937962,0.729568,0.820917
365073,0.564262,0.988663,0.71847,1.28792
178054,0.152647,0.851229,0.258871,0.970708
216053,0.571903,0.925926,0.707077,0.974875
268002,0.406156,0.899218,0.559568,0.981916
368016,0.401371,0.965628,0.567045,1.06717
117054,0.472309,0.897213,0.618847,1.0945
277095,0.446646,0.987885,0.615163,0.976208
274007,0.526045,0.96101,0.679914,1.3255
385028,0.62484,0.854007,0.721668,0.847917
48055,0.440834,0.795582,0.567317,1.13129
286092,0.917502,0.486948,0.636229,0.756375
23025,0.534296,0.86796,0.661431,0.826167
24004,0.602182,0.892807,0.719246,0.999792
323016,0.643057,0.924367,0.758469,1.04075
271008,0.731285,0.871645,0.79532,0.793917
376001,0.597411,0.963803,0.737614,0.989
187083,0.479634,0.936304,0.634326,1.03337
161062,0.726209,0.678582,0.701588,0.919167
188005,0.378137,0.934117,0.538347,0.972875
100098,0.567898,0.982749,0.71983,1.25971
135037,0.747604,0.863839,0.801529,0.8455
309004,0.253753,0.992589,0.404178,0.974458
169012,0.266314,0.827813,0.402984,1.12454
231015,0.55692,0.980574,0.710379,1.1585
166081,0.511868,0.908112,0.654704,1.19133
271031,0.642251,0.613452,0.627521,0.605
216041,0.387671,0.754609,0.512203,1.252
181018,0.503156,0.812004,0.621315,1.07354
163062,0.376871,0.919132,0.534557,1.06304
35091,0.438116,0.991275,0.607662,1.41704
198004,0.584041,0.741326,0.653351,0.843625
196015,0.494391,0.883553,0.634018,1.03929
172032,0.792098,0.705878,0.746507,0.750375
12003,0.471554,0.960169,0.632485,1.12288
147062,0.352797,0.976641,0.518348,1.31888
105053,0.534451,0.81268,0.644834,1.15883
43070,0.213505,1,0.351881,1.16975
65074,0.646086,0.882347,0.745957,1.02937
78019,0.596749,0.931507,0.727464,0.857667
140055,0.326807,0.968256,0.488676,1.24942
100075,0.391461,0.84532,0.535115,0.89675
113009,0.514374,0.967366,0.671627,1.23683
155060,0.429897,0.954602,0.592822,1.22762
60079,0.663292,0.404481,0.50252,0.738958
23084,0.420071,0.923732,0.577515,0.873958
249087,0.313135,0.954918,0.471618,1.07921
183087,0.377238,0.914704,0.534175,1.01063
45077,0.259556,0.898496,0.402763,1.13946
22013,0.640933,0.986211,0.776938,1.026
209070,0.579772,0.804125,0.673763,0.917417
55067,0.962716,0.462743,0.625048,0.3975
245051,0.699555,0.942559,0.803077,0.704292
239007,0.849912,0.635323,0.727115,0.884334
176019,0.348369,0.970984,0.512768,1.21938
8143,0.522427,0.999588,0.686211,1.09429
103041,0.364151,0.899017,0.518344,1.29092
145014,0.597086,0.908534,0.720597,0.802167
113044,0.343318,0.940185,0.502971,1.41829
374067,0.334139,0.733148,0.459058,1.00575
41004,0.456162,0.900352,0.605532,0.824833
109034,0.190808,0.907774,0.315334,1.46125
35008,0.736813,0.503648,0.598317,0.64075
246016,0.607953,0.609633,0.608792,0.703166
135069,0.98244,0.996718,0.989528,0.343
225017,0.286444,0.972433,0.442533,1.08813
361084,0.654665,0.958728,0.778045,1.14213
61060,0.227585,0.974398,0.368988,0.871958
253036,0.992306,0.745061,0.851091,0.585833
65010,0.502904,0.915114,0.649095,1.04158
105019,0.561401,0.935669,0.701752,0.767458
90076,0.589872,0.957675,0.730066,0.767209
42078,0.319734,0.953378,0.478869,1.02937
42044,0.427354,0.932533,0.58611,0.702416
156079,0.425709,0.921308,0.582338,1.15762
188063,0.382695,0.783661,0.514257,0.881042
126039,0.822486,0.465662,0.594653,0.812583
28075,0.449845,0.688953,0.544297,1.02817
55075,0.404729,0.970621,0.571256,1.19142
122048,0.431012,0.923222,0.587667,1.09729
163014,0.484232,0.86563,0.62105,0.834
181091,0.309521,0.940315,0.465737,1.045
170054,0.563107,0.864983,0.682139,0.830167
301007,0.534947,0.893561,0.669241,1.24821
12074,0.416455,0.837936,0.556386,1.13529
247085,0.497221,0.758739,0.600753,0.857833
293029,0.322179,0.900897,0.474623,1.10775
176035,0.609057,0.828323,0.701966,0.984125
80099,0.394515,0.667377,0.495889,1.01188
159029,0.364615,0.960278,0.528543,1.1455
24063,0.917042,0.549218,0.686994,0.401792
183055,0.842919,0.72801,0.781262,0.84675
2092,0.607197,0.823695,0.699068,0.68275
181079,0.457072,0.866969,0.598573,0.935542
92059,0.280972,0.928805,0.431431,0.896625
108073,0.370359,0.937483,0.530959,1.02025
153077,0.520636,0.843856,0.643964,1.01292
23080,0.758268,0.831904,0.793381,0.931583
365025,0.649067,0.665649,0.657253,1.09125
