image,P,R,F1,ms
157036,0.338238,0.933221,0.496517,3.99504
187029,0.403089,0.906631,0.558063,0.782292
71046,0.598852,0.977713,0.742761,0.844167
299091,0.449348,0.39239,0.418942,0.457708
242078,0.823754,0.874308,0.848279,0.807292
232038,0.564198,0.949732,0.707875,0.705208
173036,0.300426,0.85058,0.444022,0.793625
198054,0.312186,0.997289,0.475519,1.05537
388016,0.838171,0.900763,0.86834,0.982542
292066,0.303499,0.913189,0.455584,1.00104
189011,0.635073,0.528434,0.576867,0.572791
59078,0.436798,0.959234,0.600261,1.22292
108041,0.294356,0.853223,0.437707,1.02479
66075,0.47739,0.846599,0.610516,0.657667
20008,0.409724,0.757403,0.531778,0.984667
370036,0.784502,0.935617,0.853422,0.967625
41025,0.290346,0.960554,0.445908,1.08983
207056,0.21173,0.997232,0.349298,1.15242
314016,0.374818,0.989774,0.543731,0.867541
188091,0.677452,0.991011,0.804767,0.558583
56028,0.660416,0.98446,0.790519,1.07008
134008,0.221171,0.980093,0.3609,1.23908
153093,0.667387,0.927084,0.776087,0.870625
54005,0.368782,0.97857,0.535686,1.13142
65019,0.569513,0.955513,0.713662,0.686625
176039,0.189493,0.975307,0.317332,0.887834
187003,0.404285,0.934297,0.564362,1.09504
61086,0.397666,0.970361,0.56414,0.868625
147021,0.276961,0.918718,0.425614,0.638333
353013,0.311169,0.993872,0.47395,1.12846
317080,0.467342,0.998173,0.63662,1.04388
28096,0.284358,0.861022,0.427523,0.848208
35010,0.699947,0.964749,0.811287,1.14117
151087,0.358091,0.90635,0.513359,1.14646
254033,0.234581,0.978931,0.378469,0.931666
189003,0.52357,0.955893,0.676565,1.03937
144067,0.304372,0.885722,0.453055,0.842459
33066,0.686061,0.814847,0.744929,0.710667
138032,0.290209,0.978609,0.447662,0.981458
15088,0.176245,0.860283,0.292555,0.756291
249061,0.520504,0.858393,0.64805,0.631875
68077,0.542894,0.938313,0.687823,1.03763
368078,0.583858,0.980918,0.732011,0.892416
187039,0.205719,0.993849,0.340879,1.29396
87065,0.375888,0.994978,0.545641,1.32046
216066,0.371275,0.983062,0.538989,1.14979
43083,0.513026,0.980957,0.673711,1.32796
372047,0.698918,0.981219,0.816352,0.829542
227046,0.461588,0.946981,0.620651,0.942583
15004,0.558077,0.959257,0.705631,0.87425
236017,0.389668,0.972282,0.55636,1.24233
310007,0.442419,0.913055,0.596032,0.757875
