image,P,R,F1,ms
157036,0.333319,0.930512,0.490821,5.18371
187029,0.406908,0.897112,0.559872,0.82175
71046,0.600599,0.979775,0.7447,0.887709
299091,0.42502,0.392445,0.408083,0.497958
242078,0.822204,0.873516,0.847083,0.870209
232038,0.568816,0.94791,0.710987,0.735875
173036,0.297057,0.834562,0.438155,0.785583
198054,0.312292,0.996578,0.47556,1.06704
388016,0.834197,0.893023,0.862608,1.0875
292066,0.29685,0.90338,0.446862,1.04438
189011,0.632514,0.523534,0.572887,0.583833
59078,0.437045,0.960535,0.600749,1.34842
108041,0.294409,0.850702,0.437433,1.20612
66075,0.473122,0.846785,0.607062,0.637916
20008,0.412527,0.763068,0.535535,1.10796
370036,0.772823,0.929602,0.843993,1.04517
41025,0.285543,0.96227,0.440402,1.08292
207056,0.204978,0.997241,0.340059,1.31267
314016,0.379239,0.990141,0.548423,0.830583
188091,0.67091,0.974905,0.794832,0.6475
56028,0.648878,0.976645,0.779716,1.10929
134008,0.222205,0.979464,0.362232,1.16288
153093,0.664181,0.924355,0.772962,0.82925
54005,0.362979,0.97574,0.529122,1.325
65019,0.567147,0.949583,0.71015,0.69725
176039,0.191408,0.975535,0.320024,0.735583
187003,0.404256,0.939386,0.565258,1.10621
61086,0.397262,0.963065,0.562495,0.881333
147021,0.273705,0.917245,0.421604,0.64525
353013,0.311971,0.994107,0.474907,1.07488
317080,0.465779,0.998172,0.635169,1.10317
28096,0.313037,0.873378,0.460884,0.807167
35010,0.699165,0.964533,0.810685,0.984833
151087,0.357164,0.910562,0.513076,0.920666
254033,0.233364,0.967514,0.37603,1.01238
189003,0.518745,0.957887,0.673017,0.95425
144067,0.303639,0.879965,0.451488,0.868916
33066,0.690412,0.819187,0.749307,0.744208
138032,0.292149,0.974948,0.449579,0.968041
15088,0.180507,0.862391,0.298529,0.733541
249061,0.519524,0.861245,0.648099,0.539833
68077,0.535373,0.942082,0.682749,1.05804
368078,0.57875,0.981449,0.728129,0.866166
187039,0.204921,0.992238,0.339688,1.17487
87065,0.376612,0.998126,0.546877,1.31742
216066,0.369006,0.9839,0.536718,1.19954
43083,0.51093,0.981021,0.671916,1.21525
372047,0.696918,0.978587,0.814077,0.828459
227046,0.462798,0.952067,0.622836,0.898959
15004,0.556928,0.955636,0.703733,1.03329
236017,0.38767,0.970566,0.554042,1.32488
310007,0.442634,0.922391,0.598204,0.768833
198023,0.209996,0.882818,0.339285,0.975958
22093,0.544913,0.966967,0.69703,0.885792
106025,0.391454,0.416639,0.403654,0.756459
202012,0.365806,0.997138,0.535251,1.40017
159045,0.507582,0.987813,0.670587,1.19058
376020,0.36948,0.900091,0.523902,1.22154
124084,0.748944,0.974618,0.847007,1.0485
254054,0.275613,0.970623,0.429319,1.26021
25098,0.698227,0.952817,0.805893,0.998166
8049,0.686015,0.847271,0.758163,0.7645
104022,0.515178,0.889638,0.652501,0.90125
238011,0.986778,0.997488,0.992104,0.638958
285036,0.600943,0.870488,0.711027,0.825875
65132,0.346151,0.889441,0.498354,0.974791
326038,0.20493,0.993186,0.339756,1.09596
22090,0.794435,0.752552,0.772926,0.726333
159091,0.350966,0.922006,0.508405,1.08488
76002,0.499528,0.972799,0.660098,0.962291
227040,0.645545,0.861848,0.738177,1.00733
145053,0.533372,0.96599,0.687269,0.876208
374020,0.62141,0.883812,0.729739,0.896541
46076,0.59876,0.807858,0.687767,0.652917
100080,0.681098,0.304983,0.42131,0.903375
113016,0.410914,0.975122,0.578183,1.11729
134052,0.216111,0.664162,0.326109,1.15967
311068,0.217639,0.932708,0.352925,1.37004
239096,0.50716,0.75555,0.606925,0.953375
187071,0.534393,0.966348,0.688206,0.753208
16052,0.384564,0.937542,0.54541,1.14162
94079,0.183636,0.96537,0.308574,1.20938
311081,0.2238,0.974535,0.364006,1.24533
118035,0.92494,0.833601,0.876899,0.715833
130034,0.178054,0.998089,0.302197,1.45992
138078,0.768708,0.959353,0.853514,0.887
35070,0.753927,0.981323,0.852725,0.883792
35058,0.403202,0.652052,0.498285,0.827625
260081,0.363672,0.902589,0.51845,1.24129
246053,0.607236,0.850259,0.708487,0.780125
26031,0.133794,0.939304,0.234224,1.09396
67079,0.680906,0.935521,0.788161,0.843125
164074,0.2154,0.902078,0.34776,1.20604
95006,0.275938,0.95384,0.428046,1.22517
27059,0.624852,0.951878,0.754451,1.02954
66039,0.30524,0.901923,0.456115,1.22158
112082,0.242433,0.912096,0.383052,1.17929
140075,0.5069,0.924448,0.654771,0.959667
106020,0.24878,0.967329,0.395774,1.00737
97017,0.650124,0.721119,0.683784,0.899625
302003,0.838555,0.879259,0.858425,0.999792
118020,0.597884,0.945799,0.732635,0.772084
365073,0.569945,0.989228,0.723211,1.14046
178054,0.141586,0.767706,0.23908,0.829875
216053,0.605755,0.933733,0.734807,0.905833
268002,0.419808,0.898125,0.572169,0.854459
368016,0.403952,0.964749,0.569463,1.01792
117054,0.473742,0.891926,0.618807,0.888167
277095,0.448973,0.989314,0.617645,0.922625
274007,0.545957,0.963111,0.696877,1.37704
385028,0.637919,0.882308,0.74047,0.782375
48055,0.452266,0.797629,0.577233,1.12233
286092,0.94351,0.476248,0.632988,0.671416
23025,0.558368,0.89461,0.687583,0.737417
24004,0.624952,0.900233,0.73775,0.887708
323016,0.640904,0.936944,0.761152,0.895834
271008,0.709111,0.855331,0.775388,0.729625
376001,0.598854,0.969077,0.740257,0.869667
187083,0.450934,0.934222,0.608267,0.969875
161062,0.712185,0.70622,0.70919,0.870208
188005,0.414945,0.935447,0.574884,0.82425
100098,0.573044,0.989425,0.725754,1.19329
135037,0.730191,0.862755,0.790957,0.842875
309004,0.261324,0.993589,0.413812,0.866375
169012,0.266389,0.84281,0.404824,1.0685
231015,0.560168,0.981364,0.713224,0.812959
166081,0.518512,0.91095,0.660862,1.19921
271031,0.652035,0.728693,0.688236,0.468375
216041,0.399456,0.782458,0.528901,1.11608
181018,0.491806,0.824632,0.616146,1.09787
163062,0.376303,0.926551,0.535231,0.973042
35091,0.435469,0.996763,0.60613,1.32829
198004,0.579476,0.741985,0.650738,0.801
196015,0.498826,0.889516,0.639199,0.922542
172032,0.804449,0.669259,0.730653,0.676917
12003,0.464701,0.970245,0.62842,1.07812
147062,0.35561,0.97315,0.520879,1.20788
105053,0.56672,0.803279,0.664576,1.08587
43070,0.217223,1,0.356915,1.02892
65074,0.645868,0.843728,0.731657,0.910459
78019,0.594872,0.926817,0.724639,0.793458
140055,0.344034,0.97255,0.508271,1.13871
100075,0.39463,0.872203,0.543398,0.778709
113009,0.514514,0.977709,0.674222,1.07654
155060,0.424357,0.963512,0.58921,1.25667
60079,0.660884,0.362999,0.468609,0.6745
23084,0.421567,0.92376,0.578932,0.796208
249087,0.321599,0.963151,0.482192,1.07917
183087,0.366728,0.930621,0.526126,0.875708
45077,0.260544,0.924408,0.406513,1.05408
22013,0.661671,0.983665,0.791161,0.903583
209070,0.592669,0.837097,0.69399,0.829958
55067,0.956805,0.380275,0.544245,0.426917
245051,0.72329,0.921728,0.81054,0.650875
239007,0.858075,0.669838,0.752361,0.678709
176019,0.353563,0.971224,0.518406,1.13567
8143,0.523466,0.999281,0.687034,1.15958
103041,0.366818,0.885096,0.518677,1.23708
145014,0.603512,0.908328,0.725192,0.827791
113044,0.345817,0.948102,0.506786,1.28075
374067,0.344155,0.746083,0.471032,0.936208
41004,0.464441,0.907236,0.614368,0.861042
109034,0.192153,0.90188,0.316807,1.35354
35008,0.764305,0.551063,0.640399,0.612875
246016,0.597211,0.588191,0.592667,0.652708
135069,0.985287,0.997672,0.991441,0.335292
225017,0.285361,0.972289,0.441225,1.08337
361084,0.673226,0.965898,0.793433,1.03825
61060,0.219765,0.962078,0.357799,0.927959
253036,0.998957,0.729298,0.84309,0.621167
65010,0.510859,0.933462,0.660334,0.987709
105019,0.482067,0.964448,0.642826,0.697208
90076,0.565945,0.959106,0.711847,0.791709
42078,0.312789,0.954306,0.471151,0.9495
42044,0.428212,0.94289,0.588953,0.815917
156079,0.424647,0.916014,0.580284,1.06979
188063,0.38499,0.800409,0.519909,0.775583
126039,0.789088,0.519141,0.626263,0.617916
28075,0.458338,0.740843,0.566314,0.674458
55075,0.413506,0.983495,0.58222,1.05892
122048,0.427466,0.921956,0.584109,0.8625
163014,0.481508,0.888227,0.624483,0.711792
181091,0.315148,0.948642,0.473121,0.971583
170054,0.591996,0.871616,0.705095,0.763417
301007,0.529155,0.906242,0.668167,1.15554
12074,0.40637,0.843657,0.548527,1.13517
247085,0.49467,0.775096,0.603917,0.873125
293029,0.336296,0.886815,0.487662,0.986041
176035,0.616515,0.840724,0.711371,0.88975
80099,0.415191,0.716241,0.525665,0.825209
159029,0.35831,0.962323,0.522188,1.09808
24063,0.911077,0.577752,0.707102,0.359417
183055,0.824902,0.680816,0.745965,0.666875
2092,0.631696,0.767646,0.693067,0.623459
181079,0.475392,0.898606,0.62182,0.891584
